time ax ay az wx wy wz hm
481295531 -00.140051 +00.109965 -09.617721 +0.002472 -0.006637 +0.010767 +15.36
481295536 -00.313737 -00.008861 -09.715869 +0.002324 -0.002939 +0.010615 +10.46
481295541 -00.106249 -00.123007 -09.701134 +0.001701 +0.007959 +0.012045 -01.24
481295546 -00.023434 +00.097433 -09.807333 +0.002223 +0.011237 +0.008438 +11.93
481295551 -00.134067 +00.307434 -09.853429 +0.002223 +0.011237 +0.008438 +11.93
481295556 -00.133960 +00.174508 -09.931190 -0.001488 +0.004124 +0.010142 +04.16
481295561 -00.133960 +00.174508 -09.931190 -0.002406 +0.002116 +0.005264 +02.23
481295566 -00.038021 +00.078172 -09.788640 +0.001517 +0.001808 -0.003995 +10.07
481295571 -00.231413 -00.036769 -09.782152 +0.000525 -0.003690 -0.002122 +05.38
481295576 -00.308298 -00.059855 -09.897377 -0.002741 +0.002088 +0.006834 +05.80
481295581 -00.090749 -00.006672 -09.928195 +0.000753 +0.006537 +0.010468 +05.80
481295586 +00.087816 +00.202627 -09.809887 +0.001395 +0.012141 +0.011737 +10.97
481295591 +00.087816 +00.202627 -09.809887 -0.002904 +0.006398 +0.008412 +03.71
481295596 +00.044183 +00.187922 -09.772344 -0.000337 -0.000610 +0.005424 +08.09
481295601 -00.062275 +00.054122 -09.770087 -0.003976 -0.003434 +0.000692 +04.01
481295606 -00.265651 -00.023491 -09.663245 -0.000127 -0.007233 -0.001815 +07.96
481295611 -00.415197 -00.056689 -09.726838 +0.003645 +0.002898 +0.007800 +07.96
481295616 -00.163725 -00.079283 -09.815401 +0.003668 +0.011414 +0.007814 +10.14
481295621 -00.163725 -00.079283 -09.815401 +0.003165 +0.014887 +0.011275 +06.18
481295626 +00.078183 +00.169375 -09.829411 -0.002512 +0.014364 +0.003083 +04.00
481295631 -00.056844 +00.183824 -09.882792 -0.003295 +0.007994 -0.000387 +12.36
481295636 -00.115254 +00.021049 -09.823318 -0.003295 +0.007994 -0.000387 +10.74
481295641 -00.105859 -00.017546 -09.766550 -0.007599 +0.006720 -0.001976 +10.74
481295646 -00.231401 +00.039348 -09.757442 -0.004405 -0.000308 -0.003705 +11.75
481295651 -00.231401 +00.039348 -09.757442 +0.001400 -0.001600 +0.007314 +10.48
481295656 -00.211503 -00.021193 -09.934176 +0.003988 +0.008057 +0.006867 +07.03
481295661 -00.042409 +00.102891 -09.897909 +0.005595 +0.013675 +0.007510 +06.33
481295666 -00.003646 +00.207858 -09.891570 +0.004884 +0.006030 +0.012839 +15.71
481295671 -00.076723 +00.125516 -09.755083 -0.000232 +0.004728 +0.012662 +15.71
481295676 -00.110682 +00.068061 -09.737009 -0.002886 +0.002114 +0.005262 +05.40
481295681 -00.110682 +00.068061 -09.737009 -0.006225 -0.009379 +0.000204 +09.53
481295686 -00.255994 +00.081146 -09.623829 -0.000857 -0.008839 +0.007295 +15.54
481295691 -00.352515 -00.018749 -09.682989 +0.001886 +0.001451 +0.007478 +09.17
481295696 -00.087061 -00.075696 -09.648027 -0.002751 +0.015339 +0.011728 -01.19
481295701 +00.000667 +00.140177 -09.778048 -0.000459 +0.015605 +0.006078 -01.19
481295706 -00.143779 +00.269260 -09.853964 -0.007675 +0.008341 +0.006513 +01.23
481295711 -00.143779 +00.269260 -09.853964 -0.006890 -0.000474 +0.005402 +05.59
481295716 -00.075743 +00.179935 -09.997287 -0.006890 -0.000474 +0.005402 +14.97
481295721 -00.052488 +00.068680 -09.798401 -0.003048 +0.001629 +0.005418 +08.95
481295726 -00.289293 -00.055737 -09.811449 +0.003298 -0.004826 +0.008416 +07.01
481295731 -00.265066 -00.065033 -09.835159 +0.003263 -0.004569 +0.012188 +07.01
481295736 -00.028333 +00.059231 -09.803065 +0.001581 +0.006752 +0.007485 +07.01
481295741 -00.028333 +00.059231 -09.803065 +0.001301 +0.010980 +0.004505 +07.46
481295746 +00.029694 +00.202161 -09.767539 +0.001876 +0.001593 +0.008578 +08.43
481295751 -00.066928 +00.173383 -09.773479 -0.003879 -0.000670 +0.008083 -03.09
481295756 -00.130179 +00.015328 -09.709230 -0.001877 -0.002749 -0.001343 +04.59
481295761 -00.323542 -00.037727 -09.687724 +0.000660 -0.000857 +0.001341 +04.59
481295766 -00.328458 -00.061699 -09.673765 -0.004652 +0.001133 +0.005883 +08.19
